new_customer,application_date,income_verification,language,date_of_birth,gender,country,loan_amount,county,city,use_of_loan,education,marital_status,nr_dependants,employment_status,employment_duration,employment_position,work_experience,occupation,home_ownership,income_from_employer,income_from_pension,income_from_family_allowance,income_from_social_welfare,income_from_leave_pay,income_from_child_support,income_other,nr_debt_items,total_debt,credit_score_1,credit_score_2,credit_score_3,credit_score_4,nr_previous_loans,amount_previous_loans,previous_repayments,previous_early_repayments,previous_early_repayments_count,default
1,2013-07-16 11:57:21,unverified,estonian,1958-08-31,female,EE,319.5582,HARJU,KEHRA,health,vocational,married,0.0,fully,MoreThan5Years,laduline,MoreThan25Years,catering,,3800.0,0.0,0.0,0.0,0.0,0.0,280.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-07-19 09:20:06,unverified,estonian,1978-06-15,male,EE,319.5582,HARJU,TABASALU,vehicle,secondary,cohabitant,1.0,self_employed,UpTo1Year,Autojuht,15To25Years,transport,,15000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-21 08:48:41,unverified,estonian,1981-12-11,male,EE,255.6466,HARJU,TALLINN,vehicle,secondary,married,0.0,fully,MoreThan5Years,,10To15Years,transport,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
0,2013-07-19 15:10:29,unverified,estonian,1964-11-04,female,EE,127.8233,IDA-VIRU,KOHTLA-JARVE,vehicle,higher,divorced,0.0,fully,MoreThan5Years,Õpetaja ,MoreThan25Years,education,,10400.0,0.0,0.0,0.0,0.0,0.0,3000.0,0,0.0,,,,,4,587.9873,401.254,0.0,0,0
0,2013-07-21 00:08:37,unverified,estonian,1993-02-22,male,EE,319.5582,HELSINKI,HELSINKI,business,vocational,single,0.0,fully,,Desknote Pärnu OÜ / Kroonivara,2To5Years,telecom,,7500.0,0.0,0.0,0.0,0.0,0.0,19000.0,0,0.0,,,,,4,1252.669,1328.5625,0.0,0,1
1,2013-07-21 11:42:20,unverified,estonian,1992-10-08,female,EE,127.8233,LÄÄNE-VIRUMAA,VIITNA,other,basic,cohabitant,1.0,,,,2To5Years,other,,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,1,31.95,0.0,0.0,0,1
1,2013-07-21 13:48:04,unverified,estonian,1983-02-06,male,EE,319.5582,RAPLA,RAPLA,home_improvement,secondary,single,0.0,fully,,,10To15Years,construction,,9000.0,0.0,0.0,0.0,0.0,0.0,4000.0,0,0.0,,,,,1,166.1487,0.0,0.0,0,1
0,2013-07-20 20:18:39,unverified,estonian,1993-02-22,male,EE,319.5582,HELSINKI,HELSINKI,business,vocational,single,0.0,fully,,Desknote Pärnu OÜ / Kroonivara,2To5Years,telecom,,7500.0,0.0,0.0,0.0,0.0,0.0,19000.0,0,0.0,,,,,5,1572.229,1328.5625,0.0,0,1
1,2013-07-02 22:19:29,unverified,estonian,1955-09-04,female,EE,319.5582,JÄRVA,TÜRI,home_improvement,higher,single,0.0,fully,UpTo5Years,sotspedagoog,MoreThan25Years,education,,8500.0,0.0,0.0,0.0,0.0,0.0,8500.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-11 18:20:42,unverified,estonian,1989-10-24,female,EE,255.6466,RAPLA,RAPLAMAA,home_improvement,vocational,single,0.0,fully,UpTo4Years,klienditeenindaja,5To10Years,finance,,9000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,1,159.7792,0.0,0.0,0,1
1,2013-07-13 16:37:41,unverified,estonian,1989-10-24,female,EE,63.9116,RAPLA,RAPLAMAA,home_improvement,vocational,single,0.0,fully,UpTo4Years,klienditeenindaja,5To10Years,finance,,9000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,2,364.3119,0.0,0.0,0,0
1,2013-07-10 10:45:26,unverified,estonian,1990-01-08,male,EE,319.5582,IDA-VIRU,KOHTLA-JARVE,vehicle,basic,single,0.0,fully,UpTo4Years,ehitaja,5To10Years,construction,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-07-07 11:53:13,unverified,estonian,1980-09-28,male,EE,319.5582,HARJU,KLOOGA,travel,secondary,married,3.0,fully,MoreThan5Years,Projektijuht,10To15Years,telecom,,18000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0,0.0,,,,,1,319.5593,0.0,0.0,0,0
1,2013-07-12 13:34:52,unverified,estonian,1980-12-18,female,EE,319.5582,ESSEX,GREAT EASTON GREAT DUNMOW,other,higher,married,3.0,fully,UpTo3Years,tervishoiutöötaja,10To15Years,healthcare,,14000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0,0.0,,,,,1,191.7352,0.0,0.0,0,0
1,2013-07-16 00:41:03,unverified,estonian,1970-11-30,male,EE,319.5582,HARJU,TALLINN,loan_consolidation,secondary,single,0.0,fully,MoreThan5Years,Töödejuhataja,MoreThan25Years,utilities,,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-14 11:43:20,unverified,estonian,1985-09-12,female,EE,274.8201,PÄRNU,PÄRNU,health,secondary,cohabitant,0.0,fully,UpTo3Years,teenindaja,5To10Years,catering,,7000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,2,364.2961,0.0,0.0,0,1
1,2013-07-20 17:51:14,unverified,estonian,1962-01-06,female,EE,319.5582,PÄRNUMAA,LAVASSAARE,home_improvement,secondary,single,0.0,fully,MoreThan5Years,raamatupidaja,15To25Years,other,,9500.0,0.0,0.0,0.0,0.0,0.0,387.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-21 22:39:46,unverified,estonian,1979-11-07,female,EE,319.5582,HARJU,VETLA,home_improvement,secondary,cohabitant,3.0,entrepreneur,,juhataja,LessThan2Years,other,,5000.0,0.0,0.0,0.0,0.0,0.0,34000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-15 14:39:10,unverified,estonian,1978-10-09,female,EE,319.5582,LÄÄNE,HAAPSALU,loan_consolidation,vocational,married,3.0,fully,UpTo2Years,Kokk,10To15Years,catering,,5500.0,0.0,0.0,0.0,0.0,0.0,8000.0,0,0.0,,,,,1,31.9675,1.5677,0.0,0,0
1,2013-07-22 18:58:46,unverified,russian,1975-07-13,male,EE,319.5582,IDA-VIRU,KOHTLA-JARVE,education,secondary,married,1.0,fully,MoreThan5Years,Kaevur,15To25Years,energy,,15000.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
0,2013-07-26 13:26:28,unverified,estonian,1972-11-06,female,EE,223.6908,HARJU,TALLINN,other,vocational,single,1.0,fully,UpTo1Year,õmbleja,MoreThan25Years,processing,,8000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0,0.0,,,,,4,396.2479,7.183,0.0,0,1
1,2013-07-23 15:12:02,unverified,estonian,1988-09-06,male,EE,255.6466,HARJU,TALLINN,travel,vocational,single,0.0,fully,,Operaor,5To10Years,agriculture,,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-24 14:34:05,unverified,estonian,1958-08-31,female,EE,319.5582,HARJU,KEHRA,travel,vocational,married,0.0,fully,MoreThan5Years,laduline,MoreThan25Years,catering,,3800.0,0.0,0.0,0.0,0.0,0.0,280.0,0,0.0,,,,,1,319.4988,0.0,0.0,0,0
1,2013-07-28 15:04:24,unverified,estonian,1982-05-20,female,EE,319.5582,HARJU,TALLINN,business,secondary,married,2.0,entrepreneur,,,10To15Years,healthcare,,25000.0,0.0,0.0,0.0,0.0,0.0,600.0,0,0.0,,,,,1,319.5584,0.0,0.0,0,0
1,2013-07-27 11:45:31,unverified,russian,1975-07-13,male,EE,319.5582,IDA-VIRU,KOHTLA-JARVE,education,secondary,married,1.0,fully,MoreThan5Years,Kaevur,15To25Years,energy,,15000.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0.0,,,,,1,319.5582,0.0,0.0,0,1
0,2013-07-29 18:44:27,unverified,estonian,1986-08-09,female,EE,191.7349,PÕLVAMAAKOND,MAARITSA,loan_consolidation,vocational,cohabitant,2.0,fully,UpTo2Years,Õpetaja,2To5Years,education,,6500.0,0.0,0.0,0.0,0.0,0.0,600.0,0,0.0,,,,,3,415.44,40.9952,0.0,0,1
1,2013-07-26 13:18:01,unverified,estonian,1958-11-14,female,EE,319.5582,LÄÄNE MAAKOND,HANILA VALD,loan_consolidation,secondary,married,0.0,,UpTo5Years,pearaamatupidaja,MoreThan25Years,finance,,16318.0,0.0,0.0,0.0,0.0,0.0,1000.0,0,0.0,,,,,1,159.7792,30.6572,0.0,0,1
1,2013-07-21 16:53:51,unverified,estonian,1972-11-04,female,EE,319.5582,TARTU,TARTU,other,secondary,married,2.0,,,Töötu,15To25Years,other,,3400.0,0.0,0.0,0.0,0.0,0.0,3600.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-07-19 22:40:15,unverified,estonian,1990-01-08,male,EE,281.2113,IDA-VIRU,KOHTLA-JARVE,home_improvement,basic,single,0.0,fully,UpTo3Years,ehitaja,5To10Years,construction,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,1,38.3465,0.0,0.0,0,1
1,2013-07-13 00:00:09,unverified,estonian,1991-03-11,male,EE,230.0819,TARTU,TARTU,travel,secondary,cohabitant,0.0,fully,UpTo3Years,klienditeenindaja,2To5Years,retail,,11000.0,0.0,0.0,0.0,0.0,0.0,2500.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-22 23:12:29,unverified,estonian,1964-04-14,female,EE,319.5582,,-,other,basic,divorced,0.0,fully,UpTo4Years,abitöötaja,MoreThan25Years,other,,4700.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-07-27 13:14:56,unverified,estonian,1982-05-20,female,EE,319.5582,HARJU,TALLINN,business,secondary,married,2.0,entrepreneur,,,10To15Years,healthcare,,25000.0,0.0,0.0,0.0,0.0,0.0,600.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-23 13:51:22,unverified,estonian,1984-03-27,male,EE,319.5582,LÄÄNEMAA,HAAPSALU,other,secondary,cohabitant,0.0,fully,UpTo5Years,töödejuhataja,5To10Years,construction,,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-27 16:00:54,unverified,estonian,1986-11-26,male,EE,319.5582,IDA-VIRU,TUDULINNA,other,secondary,cohabitant,0.0,fully,UpTo3Years,tööjuht,5To10Years,agriculture,,15400.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-27 13:38:50,unverified,estonian,1988-08-27,female,EE,191.7349,HARJU,TALLINN,other,higher,cohabitant,0.0,fully,UpTo3Years,,2To5Years,education,,12000.0,0.0,0.0,0.0,0.0,0.0,2500.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-07-21 20:51:44,unverified,estonian,1978-06-01,female,EE,191.7349,HARJU,KEILA,loan_consolidation,higher,cohabitant,1.0,fully,,,15To25Years,transport,,12500.0,0.0,0.0,0.0,0.0,0.0,300.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-02-25 12:08:00,unverified,estonian,1982-09-23,male,EE,447.3815,TARTU,ELVA,home_improvement,secondary,single,0.0,fully,,tööline,10To15Years,,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-02-20 14:12:39,unverified,estonian,1991-11-03,male,EE,63.9116,HARJU,TALLINN,business,higher,divorced,0.0,entrepreneur,UpTo2Years,Tegevjuht,5To10Years,,,15500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-04 20:39:06,unverified,estonian,1969-04-14,female,EE,319.5582,TARTU,TARTU,loan_consolidation,secondary,married,5.0,entrepreneur,,,10To15Years,,,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-02-25 12:57:22,unverified,estonian,1969-04-14,female,EE,319.5582,TARTU,TARTU,other,secondary,married,5.0,entrepreneur,,,10To15Years,,,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0,0.0,,,,,1,281.191,0.0,0.0,0,0
1,2013-03-06 11:47:54,unverified,estonian,1973-08-15,female,EE,958.6747,HARJU,TALLINN,health,secondary,married,1.0,fully,UpTo1Year,klienditeenindaja,15To25Years,,,7600.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-13 12:08:15,unverified,estonian,1994-01-05,male,EE,319.5582,JÄRVAMAA,TÜRI,health,basic,cohabitant,0.0,fully,UpTo2Years,Laotööline,2To5Years,,,7000.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-03-01 08:37:16,unverified,estonian,1973-08-15,female,EE,319.5582,HARJU,TALLINN,health,secondary,married,1.0,fully,UpTo1Year,klienditeenindaja,15To25Years,,,7600.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,1,185.3384,0.0,0.0,0,0
1,2013-03-14 21:18:12,unverified,estonian,1986-08-31,male,EE,766.9398,HARJU,TALLINN,loan_consolidation,secondary,cohabitant,0.0,fully,UpTo5Years,objektijuht,5To10Years,,,11500.0,0.0,0.0,0.0,0.0,0.0,1400.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-11 07:49:52,unverified,estonian,1969-04-14,female,EE,319.5582,TARTU,TARTU,loan_consolidation,secondary,married,5.0,entrepreneur,,,10To15Years,,,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0,0.0,,,,,2,466.5347,0.0,0.0,0,0
1,2013-03-15 18:56:52,unverified,estonian,1989-04-09,male,EE,31.9558,HARJU,TALLINN,health,vocational,single,0.0,partially,,Kokk,2To5Years,,,3400.0,0.0,0.0,0.0,0.0,0.0,600.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-11 19:22:17,unverified,estonian,1971-02-22,female,EE,159.7791,TARTU,KAAGVERE KÜLA,other,secondary,divorced,0.0,partially,UpTo3Years,Vabakutseline,10To15Years,,,7000.0,0.0,0.0,0.0,0.0,0.0,4550.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-03 09:33:37,unverified,estonian,1957-06-07,female,EE,639.1165,RAPLA,MÄRJAMAA,home_improvement,vocational,cohabitant,0.0,fully,,kokk,MoreThan25Years,,,6000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,1,252.4485,0.0,0.0,0,0
1,2013-03-15 22:46:03,unverified,estonian,1993-11-18,female,EE,159.7791,HARJU,TALLINN,other,basic,single,0.0,,,õpilane,LessThan2Years,,,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,1,31.9558,0.0,0.0,0,0
1,2013-03-15 23:07:10,unverified,estonian,1986-08-31,male,EE,639.1165,HARJU,TALLINN,loan_consolidation,secondary,cohabitant,0.0,fully,UpTo5Years,objektijuht,5To10Years,,,11500.0,0.0,0.0,0.0,0.0,0.0,1400.0,0,0.0,,,,,1,127.8233,0.0,0.0,0,0
1,2013-03-16 10:11:29,unverified,estonian,1994-12-21,female,EE,319.5582,TARTU,KAIMI KÜLA,other,basic,married,1.0,,,lapsega kodus,LessThan2Years,,,3600.0,0.0,0.0,0.0,0.0,0.0,300.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-03-17 12:25:00,unverified,estonian,1971-02-22,female,EE,159.7791,TARTU,KAAGVERE KÜLA,loan_consolidation,secondary,divorced,0.0,partially,UpTo3Years,Vabakutseline,10To15Years,,,7000.0,0.0,0.0,0.0,0.0,0.0,4550.0,0,0.0,,,,,1,159.7792,0.0,0.0,0,0
1,2013-03-20 20:24:25,unverified,estonian,1994-06-27,male,EE,409.0346,JÄRVAMAA,TÜRI,health,basic,cohabitant,0.0,fully,UpTo4Years,Autolukksepp,2To5Years,,,9700.0,0.0,0.0,0.0,0.0,0.0,3000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-03-20 11:55:33,unverified,estonian,1991-01-12,female,EE,958.6747,HARJU,TALLINN,other,higher,cohabitant,1.0,fully,UpTo3Years,praegu lapsehoolduspuhkusel,2To5Years,,,3909.0,0.0,0.0,0.0,0.0,0.0,300.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-28 14:48:10,unverified,estonian,1993-08-13,male,EE,127.8233,HARJU,TALLINN,education,primary,single,0.0,,,üliõpilane,2To5Years,,,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-03-25 11:23:08,unverified,estonian,1979-06-26,female,EE,798.8956,HARJU,TALLINN,health,secondary,married,1.0,fully,,osakonnajuhataja,5To10Years,,,12000.0,0.0,0.0,0.0,0.0,0.0,300.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-03-29 12:32:19,unverified,estonian,1994-12-21,female,EE,95.8675,TARTU,KAIMI KÜLA,other,basic,married,1.0,,,,LessThan2Years,,,3600.0,0.0,0.0,0.0,0.0,0.0,300.0,0,0.0,,,,,1,63.9154,0.0,0.0,0,1
1,2013-04-01 17:06:54,unverified,estonian,1993-08-13,male,EE,63.9116,HARJU,TALLINN,education,secondary,single,0.0,,,üliõpilane,2To5Years,other,,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0.0,,,,,1,70.3028,0.0,0.0,0,1
1,2013-03-24 10:07:22,unverified,estonian,1990-01-14,male,EE,319.5582,HARJU,KOSE VALD,loan_consolidation,secondary,cohabitant,0.0,fully,,Suurkliendihaldur,5To10Years,,,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-26 15:19:34,unverified,estonian,1957-06-07,female,EE,191.7349,RAPLA,MÄRJAMAA,vehicle,vocational,cohabitant,0.0,fully,,kokk,MoreThan25Years,,,6000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,2,361.0983,0.0,0.0,0,0
1,2013-03-30 19:22:53,unverified,estonian,1981-08-29,female,EE,319.5582,VILJANDI,VILJANDI,education,basic,single,1.0,fully,MoreThan5Years,,10To15Years,agriculture,,8000.0,0.0,0.0,0.0,0.0,0.0,300.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-04-05 22:54:00,unverified,estonian,1971-02-22,female,EE,159.7791,TARTU,KAAGVERE KÜLA,loan_consolidation,secondary,divorced,0.0,partially,UpTo3Years,Vabakutseline,10To15Years,entertainment,,7000.0,0.0,0.0,0.0,0.0,0.0,4750.0,0,0.0,,,,,2,319.5584,0.0,0.0,0,0
1,2013-04-06 21:22:23,unverified,estonian,1981-06-04,female,EE,319.5582,IDA-VIRU,JÕHVI,home_improvement,secondary,cohabitant,3.0,fully,MoreThan5Years,teenindaja,5To10Years,retail,,4500.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-03-29 09:49:21,unverified,estonian,1975-07-13,male,EE,319.5582,HARJU,TALLINN,other,higher,cohabitant,1.0,fully,UpTo1Year,vanemspetsialist,15To25Years,,,11500.0,0.0,0.0,0.0,0.0,0.0,4500.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-04-09 23:15:33,unverified,estonian,1994-06-27,male,EE,319.5582,JÄRVAMAA,TÜRI,other,basic,cohabitant,0.0,fully,UpTo4Years,Auto remondi lukksepp,2To5Years,other,,9875.0,0.0,0.0,0.0,0.0,0.0,1300.0,0,0.0,,,,,1,115.04,0.0,0.0,0,1
1,2013-07-30 18:01:52,unverified,estonian,1985-09-09,male,EE,319.5582,HARJU,TALLINN,vehicle,secondary,cohabitant,0.0,fully,,,5To10Years,entertainment,,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-08-02 20:54:00,unverified,estonian,1975-07-08,female,EE,319.5582,HARJU,SAKU VALD,education,higher,married,3.0,fully,UpTo1Year,Müüja,15To25Years,retail,,6200.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0.0,,,,,1,319.5583,0.0,0.0,0,0
1,2013-07-20 14:32:54,unverified,estonian,1994-08-01,male,EE,127.8233,JÕGEVA,PUNIKVERE,education,basic,cohabitant,3.0,,,IT tugi,5To10Years,telecom,,5000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-08-02 22:45:14,unverified,estonian,1984-03-27,male,EE,319.5582,LÄÄNEMAA,HAAPSALU,other,secondary,cohabitant,0.0,fully,UpTo5Years,töödejuhataja,5To10Years,construction,,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,1,319.5583,0.0,0.0,0,0
1,2013-08-06 16:44:26,unverified,estonian,1984-03-05,male,EE,191.7349,HARJU,PIKAVERE KÜLA,travel,basic,single,0.0,fully,,,5To10Years,processing,,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
0,2013-07-31 10:06:26,unverified,estonian,1981-06-04,female,EE,255.6466,IDA-VIRU,JÕHVI,education,secondary,cohabitant,3.0,fully,MoreThan5Years,teenindaja,5To10Years,retail,,4500.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0.0,,,,,2,377.0777,82.0571,0.0,0,1
1,2013-08-05 21:46:39,unverified,estonian,1983-02-06,male,EE,153.388,RAPLA,RAPLA,home_improvement,secondary,single,0.0,fully,,,10To15Years,construction,,9000.0,0.0,0.0,0.0,0.0,0.0,4500.0,0,0.0,,,,,2,485.7087,0.0,0.0,0,1
1,2013-08-05 11:38:22,unverified,estonian,1974-08-08,male,EE,319.5582,VILJANDI,VILJANDI,other,vocational,married,1.0,fully,UpTo3Years,Noorendike hooldus,15To25Years,other,,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-08-04 13:01:33,unverified,estonian,1958-11-14,female,EE,319.5582,LÄÄNE MAAKOND,HANILA VALD,loan_consolidation,secondary,married,0.0,fully,MoreThan5Years,pearaamatupidaja,MoreThan25Years,other,,17794.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0.0,,,,,2,338.7324,59.4231,0.0,0,1
1,2013-03-31 16:18:46,unverified,estonian,1982-11-23,female,EE,639.1165,HARJU,TALLINN,other,vocational,married,2.0,partially,,,10To15Years,catering,,3000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-04-11 16:56:43,unverified,estonian,1966-08-27,female,EE,319.5582,SAARE,KURESSAARE,education,secondary,married,1.0,fully,,operaator,MoreThan25Years,other,,7000.0,0.0,0.0,0.0,0.0,0.0,190.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
1,2013-09-16 00:49:23,unverified,estonian,1976-05-13,female,EE,191.7349,RAPLA,KOHILA,education,secondary,married,3.0,fully,UpTo3Years,õde,15To25Years,healthcare,,10000.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0.0,,,,,2,402.6158,0.0,0.0,0,1
1,2013-09-19 09:05:40,unverified,estonian,1988-09-06,male,EE,63.9116,HARJU,TALLINN,other,vocational,single,0.0,fully,UpTo1Year,Liinioperaator,5To10Years,agriculture,,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,1,255.6467,67.508,0.0,0,0
